node_id_start,node_id_end,segment_length
4085,4086,144.028940303258
4090,4052,144.094094531914
4092,4148,89.4770199483617
4094,4079,171.520308182662
4094,4102,84.8100640936207
4098,4099,81.8622630305358
4099,4166,97.7482679664094
4101,4025,108.156132201917
4102,4118,94.6563404423273
4105,4019,100.457426923952
4105,4106,248.277307116578
4106,4020,93.6163761562644
4106,4082,177.329927464352
4107,4170,93.067350714778
4114,4053,175.351358700726
4114,29332,106.802500764703
4116,4149,93.2976221024679
4118,4197,93.8583479839858
4120,4025,284.654134181042
4120,4169,97.4765106676645
4135,4136,76.3910009637587
4136,4164,97.0875962189576
4148,4116,90.889258234207
4149,4150,93.311121768933
4150,4105,101.182323568051
4153,4154,143.050559452184
4154,4042,138.409491913733
4164,4218,281.44773951757
4166,4167,76.6278357307526
4167,4100,63.0817338296121
4169,4039,94.4335405338944
4183,23158,71.4038945088546
4192,4086,131.942769131665
4194,4085,131.850236281227
4194,4192,143.673171483661
4197,4037,93.3573688220945
4197,4198,177.620174754324
4198,4038,93.9049570293761
4198,4169,172.507242877386
4200,4076,176.62623249173
4200,4201,80.6781499612251
4201,4077,172.298873778027
4201,21668,165.950165953983
4213,4214,82.4182581298931
4214,4215,80.9845408364677
4215,22696,115.891913627645
4275,4276,143.207860852227
4276,4277,155.465060094977
4277,4278,84.8802875709213
4278,4279,86.995023501923
4284,4285,84.6803803914728
4289,4290,84.0755701365077
4290,4497,292.627236580534
4306,4347,72.6939420097423
4330,4331,191.72751005261
4331,4332,74.5235858719477
4332,4750,82.245732082423
4347,4275,93.3797647535256
4382,4383,83.5759256811164
4396,4492,257.859245191275
4421,27156,179.825968904155
4423,4396,341.625741400436
4483,4696,42.7088707782789
4492,4555,310.43115409949
4493,4465,81.6758031013156
4498,4550,263.585133296048
4501,4502,188.468469172557
4510,4483,158.939252029676
4512,4513,291.126046794474
4512,4699,42.6332083907398
4513,4609,219.819950475059
4513,4702,42.8990283027312
4517,4523,58.7371693650937
4517,4528,242.968085424995
4518,4525,62.7239774950666
4522,4523,208.341184296239
4523,4524,243.403610489999
4524,4525,263.262223069475
4528,4524,61.9300943393301
4551,4588,264.412316357077
4555,4551,264.282757278807
4558,4575,187.925144237548
4585,4510,47.9082878142983
4588,4558,218.177861193927
4593,9549,82.6706923396911
4609,4757,48.9633259519853
4631,27157,396.759013792572
4652,21262,91.733128337795
4655,4741,91.7006190562345
4676,4688,42.0468016128622
4683,4684,294.88938067327
4683,9638,40.6350481177414
4684,4691,42.2616564336856
4686,4692,47.3948979628836
4688,4689,378.847693190379
4691,4692,188.41330007163
4736,4751,226.855302875139
4789,4790,265.793468664944
4790,4791,326.872544217833
4791,4792,325.02274320251
4792,10701,204.560823900272
4869,4870,94.2180728950286
4891,4892,83.6025133965314
4892,4893,218.956995940675
4909,4806,228.001165583102
5090,5100,191.458925950901
5093,4827,193.172844350393
5099,5090,412.274199869097
5105,5093,307.445433619643
5110,5141,85.9650210691026
5142,5105,83.6063670675708
5158,5167,287.691692734927
5174,5118,78.8137356148244
5174,5141,294.192309242234
