geometry,node.id,deg_unweighted,betweenes_unweighted,closeness_unweighted,eigcentrality_unweighted,eccentricity_unweighted,harmonic_unweighted,deg_weighted,betweenes,closeness,eigcentrality,eccentricity,harmonic
"c(296880.647687694, 5047573.76554757)",1530,4,15975109.592264766,5.23680847944029e-7,8.984430763673425e-6,149,724.2651698550352,432.91747714889533,9385830,2.4121141081496927e-9,0,36277.82076790078,4.188438762678393
"c(296732.240708572, 5047424.65157861)",1540,4,61818.35944944722,4.972388327616744e-7,4.038096912445561e-6,153,670.3026495816099,426.10191101247244,5901860,2.429035474683487e-9,0,36042.47775877028,4.195675618268652
"c(296837.558111114, 5047600.96254426)",1543,4,17293653.534775205,5.18962904531584e-7,5.836146354213438e-6,150,718.1507071743922,418.4716645658324,5867780,2.4104566647637646e-9,0,36247.933443282316,4.183750653638779
"c(297473.476583113, 5047536.29353428)",1557,4,526683.9994097681,5.073700574545853e-7,6.043825049533422e-6,151,684.6721595502139,588.7527748377386,1366020,2.3699122419724206e-9,0,36996.72984544947,4.17211687534763
"c(296523.853748754, 5047540.12356539)",1575,4,93879.64153760891,4.905353653924356e-7,2.5830488732018846e-6,154,660.0931447386819,862.0602724337027,7686533,2.4170890637411228e-9,0,35968.876854372,4.0822833212509355
"c(296641.949734418, 5047726.86652879)",1578,4,20039365.089573972,5.115144459352248e-7,3.509338455253708e-6,151,704.0894972109248,850.6028682277451,11752939,2.398573861035504e-9,0,36189.83165183986,4.098018541635432
"c(295596.60790967, 5047519.46359999)",1618,4,147338.59209889857,4.7676463703193036e-7,2.881114668803259e-5,153,618.1923137358398,351.8839212289373,1359065,2.3448983750486435e-9,0,36075.68009504947,3.7903108398085803
"c(297239.954628752, 5047683.77251631)",1634,4,557392.1016776101,5.130359879354457e-7,5.371118422079215e-6,150,696.3369597366977,439.520807299264,1236687,2.376632137896624e-9,0,36767.261383373865,4.2220018413626645
"c(296770.19370115, 5047400.55458156)",1641,4,75313.15100717053,5.015588448899179e-7,4.53744039593748e-6,152,674.9714721161698,308.45398145366454,13800597,2.430716491439207e-9,0,36072.3778510725,4.207286158460316
"c(298141.418465083, 5047488.32352029)",1677,4,432612.420829775,4.696522459944534e-7,7.590647272682909e-7,158,614.9602762008739,541.6346905533808,1735182,2.328510461093768e-9,0,37748.00921331868,3.963855970871243
"c(295551.76091842, 5047547.4665966)",1707,3,55432.27742065717,4.769736214508393e-7,2.8351717947727334e-5,153,619.268252717755,345.1332932805831,1345574,2.3419209911790332e-9,0,36022.9649317224,3.7683838130669662
"c(295784.69140294, 5047401.24223938)",1708,3,91127.00347128583,4.833729376893613e-7,2.9848977883332197e-5,152,628.6451067539385,385.6346772649561,1378872,2.3659530337160784e-9,0,36006.57221597095,3.8503899320872548
"c(297361.957565796, 5046438.38873002)",1730,4,124770.558914593,4.830430164297421e-7,4.206476884920815e-4,155,629.8513548385416,446.139931527063,120741,2.4392019304838545e-9,0,36490.44573842592,4.199402921329202
"c(297112.372588343, 5045811.73484799)",1744,4,8199783.072444366,5.043833434462194e-7,0.04426579575876732,151,670.9157832869062,827.3731086433722,5196836,2.4927235499970593e-9,0,35780.77269110911,4.1068844514070255
"c(297468.01454574, 5046391.61473465)",1752,4,108169.73229698498,4.799950080519163e-7,6.121276342506396e-4,156,632.2637521810466,283.1356490623933,1961524,2.4412335406207965e-9,0,36461.03033885065,4.193311441328272
"c(297697.060518252, 5046763.27366198)",1757,4,418775.4423787548,4.822796006339083e-7,4.6243112642361134e-5,157,646.1955267414103,612.2236946630401,2356328,2.4038397625907516e-9,0,36897.607353241234,4.056590726168666
"c(296037.849798191, 5046484.75176619)",1760,4,458323.1119153203,5.352829050445597e-7,0.05121902154299643,145,722.2839884766169,188.28648313303998,2740721,2.5126149508094992e-9,0,34884.290733088645,4.349994817617697
"c(296302.177758668, 5046680.93972305)",1762,4,784804.9044309534,5.207685085033686e-7,0.013544031176117034,148,700.4562796120542,408.59312707847215,3280020,2.492153168436576e-9,0,35214.631686687855,4.227647946567984
"c(296651.532677912, 5046087.24481521)",1771,4,8027056.591335762,5.136022417710649e-7,0.07080252466554052,149,683.0678858985785,588.6904325343005,1161082,2.4901400584546567e-9,0,35608.078425697175,4.079622386680149
"c(296834.247642196, 5045971.89482927)",1800,4,8127395.229791916,5.08856391058172e-7,0.05917707969432986,150,676.9185537067738,700.147494892015,16568347,2.508181131449689e-9,0,35565.6593409766,4.135888788110605
"c(296472.49071292, 5046200.62480136)",1801,4,7994236.717006598,5.185584283116308e-7,0.07490435839021387,148,691.1950244427265,583.3909410764079,1278843,2.4892782788691747e-9,0,35396.15608632711,4.08705259308298
"c(296293.198612971, 5046314.06136252)",1802,4,8016545.812283379,5.237919393658451e-7,0.0709418439405769,147,701.2202668452363,583.6562414835907,1451143,2.4977103465740877e-9,0,35183.991460285084,4.129371610867877
